========================================
  RÉSULTATS : 4voices_1_1_1_3_vtype_1_1_2
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 2
v_type            : 1 1 2
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.0
Temps 1ère solution (ms)    : 88.2
Temps dernière amélio. (ms) : 451227.8
Solutions trouvées          : 135
Améliorations de coût       : 129
Score pondéré           : 21217.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3325344
Échecs     : 1662514
Restarts   : 0
Propagat.  : 2597880227
Profondeur : 126

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          88.2     29807.0
       2          89.9     29587.0
       3          90.2     29532.0
       4          90.5     29477.0
       5          91.1     29422.0
       6          91.4     29367.0
       7          91.6     29312.0
       8          91.9     29257.0
       9          92.2     29202.0
      10          92.4     29147.0
      11          92.7     29092.0
      12          93.0     29037.0
      13          93.2     28982.0
      14          93.5     28927.0
      15          93.7     28872.0
      16          94.0     28817.0
      17          94.3     28762.0
      18          94.5     28707.0
      19          94.7     28487.0
      21          96.2     28438.0
      22          96.5     28383.0
      23          96.8     28328.0
      24          97.1     28273.0
      25          97.4     28218.0
      26          97.7     28163.0
      27          98.4     28108.0
      28          98.7     28053.0
      29          98.9     27998.0
      30          99.2     27943.0
      31          99.5     27888.0
      32          99.7     27833.0
      33         100.0     27778.0
      34         100.2     27723.0
      35         100.5     27668.0
      36         100.7     27613.0
      37         100.9     27393.0
      38         101.6     27384.0
      39         104.4     27342.0
      40         105.0     27287.0
      41         105.3     27232.0
      42         105.6     27177.0
      43         105.9     27122.0
      44         106.2     27067.0
      45         106.5     27012.0
      46         106.8     26792.0
      47         107.6     26783.0
      48         109.2     26751.0
      49         109.7     26742.0
      50         140.7     26700.0
      51         606.6     26669.0
      52         607.0     26449.0
      53         646.7     26447.0
      54         647.2     26392.0
      55         647.6     26172.0
      56         647.8     26163.0
      57         649.5     26127.0
      58         650.0     26072.0
      59         650.3     26017.0
      60         650.6     25962.0
      61         650.9     25907.0
      62         651.2     25852.0
      63         651.5     25797.0
      64         651.9     25742.0
      65         652.2     25687.0
      66         652.4     25467.0
      67         665.3     25435.0
      68         665.7     25426.0
      69         677.0     25278.0
      70         677.4     25269.0
      72         851.5     25265.0
      73         852.4     25108.0
      75         946.3     25067.0
      78        1245.6     25030.0
      79        1362.3     24981.0
      80        1362.6     24926.0
      81        1362.9     24706.0
      82        1524.6     24693.0
      83        1887.4     24666.0
      84        1892.5     24625.0
      85        2741.0     24471.0
      86        2742.5     24462.0
      87        3074.3     24420.0
      88        3681.6     24244.0
      89        4191.8     24213.0
      90        4197.3     24172.0
      91       14043.5     24016.0
      92       14047.4     23975.0
      93       14061.2     23847.0
      94       14064.0     23806.0
      95       14281.3     23802.0
      96       14281.6     23747.0
      97       14282.0     23692.0
      98       14282.3     23637.0
      99       14282.6     23582.0
     100       14282.9     23527.0
     101       14283.2     23472.0
