========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_1_1_2
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 1 1 2
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 28.2
Temps dernière amélio. (ms) : 366436.6
Solutions trouvées          : 104
Améliorations de coût       : 103
Score pondéré           : 11637.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3826413
Échecs     : 1913085
Restarts   : 0
Propagat.  : 2628078734
Profondeur : 85

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          28.2     26006.0
       2          30.1     25508.0
       3          31.6     24520.0
       4          32.0     24451.0
       5          32.4     23983.0
       6          40.8     23902.0
       7          69.1     23612.0
       8         161.6     23588.0
       9         162.2     23468.0
      10         327.9     23437.0
      11         333.1     23425.0
      12         362.6     23422.0
      13         368.8     23266.0
      14         438.5     23146.0
      15         461.9     22042.0
      16         462.4     21580.0
      17         464.1     21322.0
      18         466.7     21101.0
      19         467.7     20843.0
      20         478.8     20452.0
      21         494.1     20440.0
      22         508.9     20428.0
      23         517.3     20249.0
      24         523.6     20158.0
      25         527.4     20146.0
      26         932.6     20140.0
      27        1610.6     19978.0
      28        1666.9     19966.0
      29        2091.3     19848.0
      30        2094.5     19836.0
      31        3122.2     19782.0
      32        3128.8     19752.0
      33        5114.9     18895.0
      34        5117.9     18807.0
      35        5118.8     18521.0
      36        5119.6     18431.0
      37        5130.8     18407.0
      38        5211.3     18245.0
      39        5713.9     18214.0
      40        5872.4     18142.0
      41        6078.7     18060.0
      42        6101.2     17994.0
      43        6103.1     17988.0
      44        7904.1     17874.0
      45       10645.7     17700.0
      46       11230.4     17691.0
      47       11231.8     17469.0
      48       19144.9     17421.0
      49       19155.1     17415.0
      51       19740.9     17340.0
      52       19745.9     17271.0
      53       23248.9     17259.0
      54       25525.9     17032.0
      55       25529.3     17020.0
      56       25553.3     16916.0
      57       25561.2     16726.0
      58       25609.5     16591.0
      59       25610.3     16516.0
      60       25705.2     16284.0
      61       25792.2     16212.0
      62       27311.8     16098.0
      63       30515.1     16065.0
      64       34541.2     15825.0
      65       34553.3     15804.0
      66       34560.6     15660.0
      67       34621.9     15585.0
      68       34647.8     15507.0
      69       34785.3     15465.0
      70       34842.3     15417.0
      71       34846.8     15273.0
      72       43415.4     15142.0
      73       43959.5     15130.0
      74       50049.4     15088.0
      75       50065.1     15082.0
      76       50401.7     14968.0
      77       56328.3     14886.0
      78       73162.7     14861.0
      79       73163.2     14831.0
      80       73166.7     14172.0
      81       73171.7     14112.0
      82       73192.9     13606.0
      83       73216.8     13590.0
      84       73456.9     13516.0
      85       73469.9     13494.0
      86       73637.1     13354.0
      87       81532.8     13350.0
      88       83953.6     13192.0
      89      111706.2     13110.0
      90      154626.1     12869.0
      91      154632.3     12839.0
      92      154677.7     12814.0
      93      154681.1     12730.0
      94      154785.0     12412.0
      95      156517.5     12182.0
      96      156819.8     12152.0
      97      163513.0     12136.0
      98      170718.9     11964.0
      99      170949.4     11889.0
     100      170957.9     11814.0
     101      170962.6     11796.0
     102      177875.8     11746.0
     103      366336.5     11739.0
     104      366436.6     11637.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          28.2     26006.0  25608, 10, 134, 11, 2, 0, 14, 214, 0, 13
       2          30.1     25508.0  25117, 10, 130, 12, 2, 0, 12, 212, 0, 13
       3          31.6     24520.0  24141, 8, 122, 11, 4, 0, 10, 214, 0, 10
       4          32.0     24451.0  24071, 8, 120, 11, 3, 0, 10, 218, 0, 10
       5          32.4     23983.0  23609, 8, 116, 12, 3, 0, 10, 213, 0, 12
       6          40.8     23902.0  23531, 8, 116, 12, 4, 0, 10, 211, 0, 10
       7          69.1     23612.0  23243, 4, 116, 13, 4, 0, 12, 208, 0, 12
       8         161.6     23588.0  23221, 4, 116, 13, 4, 0, 12, 210, 0, 8
       9         162.2     23468.0  23102, 4, 116, 12, 4, 0, 12, 208, 0, 10
      10         327.9     23437.0  23067, 2, 116, 12, 3, 0, 14, 207, 0, 16
      11         333.1     23425.0  23056, 2, 116, 12, 3, 0, 14, 208, 0, 14
      12         362.6     23422.0  23054, 2, 116, 12, 4, 0, 12, 210, 0, 12
      13         368.8     23266.0  22902, 2, 116, 12, 4, 0, 12, 208, 0, 10
      14         438.5     23146.0  22783, 2, 116, 11, 4, 0, 12, 206, 0, 12
      15         461.9     22042.0  21700, 8, 106, 11, 6, 0, 14, 183, 0, 14
      16         462.4     21580.0  21245, 8, 102, 12, 6, 0, 12, 183, 0, 12
      17         464.1     21322.0  20992, 8, 102, 12, 6, 0, 14, 174, 0, 14
      18         466.7     21101.0  20771, 4, 102, 12, 5, 0, 12, 183, 0, 12
      19         467.7     20843.0  20518, 4, 102, 12, 5, 0, 14, 174, 0, 14
      20         478.8     20452.0  20132, 2, 102, 12, 4, 0, 12, 174, 0, 14
      21         494.1     20440.0  20121, 2, 102, 12, 4, 0, 12, 175, 0, 12
      22         508.9     20428.0  20110, 2, 102, 12, 4, 0, 12, 176, 0, 10
      23         517.3     20249.0  19936, 4, 100, 11, 5, 0, 14, 171, 0, 8
