========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_2_3_1
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 2 3 1
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 19.0
Temps dernière amélio. (ms) : 392075.5
Solutions trouvées          : 112
Améliorations de coût       : 109
Score pondéré           : 13793.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3868225
Échecs     : 1933988
Restarts   : 0
Propagat.  : 2999298009
Profondeur : 74

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          19.0     48767.0
       2          19.4     48254.0
       3          20.2     48152.0
       4          23.9     48123.0
       5          24.5     47855.0
       6          26.2     47106.0
       7          28.1     45771.0
       8          28.5     45503.0
       9          34.9     45364.0
      10          44.0     45343.0
      11          65.2     45139.0
      12         135.2     44865.0
      13         137.3     44492.0
      14         151.9     44483.0
      16         159.4     44368.0
      17         160.1     44179.0
      18         163.8     44023.0
      19         168.7     43997.0
      20         173.6     43969.0
      21         182.9     43603.0
      22         189.8     43528.0
      23         198.7     43399.0
      24         199.0     43324.0
      25        1007.2     43189.0
      26        6827.0     43048.0
      27        6834.7     42808.0
      28        6837.9     42520.0
      29        6860.7     42502.0
      30        6966.7     42472.0
      31        6990.6     42271.0
      32        6993.9     42232.0
      33        8567.8     22773.0
      34        8568.6     20958.0
      35        8570.5     20877.0
      36        8572.3     20628.0
      37        8572.7     20503.0
      38        8575.2     20212.0
      39        8576.2     20110.0
      40        8579.1     20076.0
      41        8581.1     19974.0
      42        8583.6     18896.0
      43        8585.3     18794.0
