========================================
  RÉSULTATS : 4voices_1_1_1_2_vtype_1_3_2
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 1
v_type            : 1 3 2
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.0
Temps 1ère solution (ms)    : 33.5
Temps dernière amélio. (ms) : 256409.9
Solutions trouvées          : 219
Améliorations de coût       : 217
Score pondéré           : 15666.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3672666
Échecs     : 1836099
Restarts   : 0
Propagat.  : 2789482724
Profondeur : 99

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          33.5     58306.0
       2          33.9     58229.0
       3          34.2     58152.0
       4          34.5     58075.0
       5          34.8     57998.0
       6          35.0     57921.0
       7          35.3     57844.0
       8          35.6     57767.0
       9          35.8     57690.0
      10          36.1     57613.0
      11          36.3     57536.0
      12          36.5     57459.0
      13          36.8     57382.0
      14          37.0     57305.0
      15          37.3     57228.0
      16          37.5     57151.0
      17          37.8     57074.0
      18          38.0     56997.0
      19          38.3     56920.0
      20          38.5     56843.0
      21          38.7     56766.0
      22          39.0     56689.0
      23          39.2     56612.0
      24          39.5     56535.0
      25          39.7     56458.0
      26          40.0     56381.0
      27          40.2     56304.0
      28          40.5     56227.0
      29          40.7     56150.0
      30          41.0     56073.0
      31          41.2     55996.0
      32          41.5     55919.0
      33          41.7     55842.0
      34          42.0     55765.0
      35          42.2     55688.0
      36          42.4     55611.0
      37          42.7     55534.0
      38          42.9     55457.0
      39          43.2     55380.0
      40          43.4     55303.0
      41          43.7     55226.0
      42          43.9     55149.0
      43          44.2     55072.0
      44          44.4     54995.0
      45          44.7     54918.0
      46          44.8     54764.0
      47          45.3     54693.0
      48          45.6     54679.0
      49          45.9     54525.0
      50          46.2     54514.0
      51          46.4     54437.0
      52          46.7     54360.0
      53          46.9     54283.0
      54          47.2     54206.0
      55          47.4     54129.0
      56          47.7     54052.0
      57          47.9     53975.0
      58          48.2     53898.0
      59          48.5     53821.0
      60          48.7     53744.0
      61          49.0     53667.0
      62          49.3     53590.0
      63          49.5     53513.0
      64          49.8     53436.0
      65          50.0     53359.0
      66          50.3     53282.0
      67          50.4     53128.0
      68          55.6     26280.0
      69          55.8     26203.0
      70          56.1     26126.0
      71          56.3     26049.0
      72          56.6     25972.0
      73          56.8     25895.0
      74          57.1     25818.0
      75          57.3     25741.0
      76          57.6     25664.0
      77          57.9     25587.0
      78          58.1     25510.0
      79          58.3     25433.0
      80          58.6     25356.0
      81          58.9     25279.0
      82          59.1     25202.0
      83          59.3     25125.0
