========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_2_2_2
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 2 2 2
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.2
Temps 1ère solution (ms)    : 10.6
Temps dernière amélio. (ms) : 467547.5
Solutions trouvées          : 128
Améliorations de coût       : 127
Score pondéré           : 8395.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3330158
Échecs     : 1664938
Restarts   : 0
Propagat.  : 3560878147
Profondeur : 81

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          10.6     23885.0
       2          11.1     21374.0
       3          17.0     21278.0
       4          17.5     21257.0
       5          21.1     21007.0
       6          22.2     20986.0
       7          23.7     20977.0
       8          24.6     20914.0
       9          24.9     20908.0
      10          32.7     20701.0
      11          34.3     20680.0
      12          34.6     20518.0
      13          42.6     20502.0
      14          49.5     20057.0
      15          50.2     20051.0
      16          52.4     19014.0
      17          53.1     18924.0
      18          55.6     18534.0
      19          67.2     18446.0
      20          67.7     18356.0
      21          70.1     18242.0
      22          81.4     18140.0
      23          82.2     17978.0
      24          86.6     17894.0
      25          87.3     17888.0
      26          89.7     17774.0
      27         186.5     17714.0
      29         295.7     17599.0
      30         296.8     17521.0
      31         297.3     17323.0
      32         298.6     17318.0
      33         302.0     17254.0
      34         358.3     17205.0
      35         359.4     17200.0
      36         598.6     17059.0
      37         599.0     17053.0
      38         604.6     16261.0
      39         605.3     16255.0
      40         659.2     15865.0
      41         843.2     15801.0
      42        1916.3     15750.0
      43        1921.7     15681.0
      44        1922.2     15519.0
      45        2345.2     15009.0
      46        2345.9     14847.0
      47        2346.9     14842.0
      48        2523.7     14586.0
      49        2524.2     14580.0
      50        2525.9     14575.0
      51        2531.3     14521.0
      52        2599.0     14461.0
      53        2605.1     14412.0
      54        2605.8     14407.0
      55        2611.7     14316.0
      56        2614.3     14155.0
      57        2628.9     14142.0
      58        2630.5     14137.0
      59        2918.8     14111.0
      60        2923.2     14098.0
      61        2924.7     14093.0
      62        2928.8     13922.0
      63        2930.8     13850.0
      64        2931.2     13844.0
      65        2935.6     13580.0
      66        2936.2     13574.0
      67        2961.2     13471.0
      68        2961.7     13309.0
      69        2962.6     13304.0
      70        3069.0     13195.0
      71        3072.8     13034.0
      72        3074.5     13021.0
      73        3075.6     13016.0
