========================================
  RÉSULTATS : 4voices_1_1_1_2_vtype_1_3_3
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 1
v_type            : 1 3 3
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.2
Temps 1ère solution (ms)    : 25.0
Temps dernière amélio. (ms) : 179685.5
Solutions trouvées          : 216
Améliorations de coût       : 211
Score pondéré           : 14674.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3662428
Échecs     : 1830985
Restarts   : 0
Propagat.  : 2658164960
Profondeur : 87

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          25.0     27218.0
       2          25.3     27141.0
       3          25.6     27064.0
       4          25.9     26987.0
       5          26.1     26910.0
       6          26.4     26833.0
       7          26.6     26756.0
       8          26.9     26679.0
       9          27.1     26602.0
      10          27.4     26525.0
      11          27.7     26448.0
      12          27.9     26371.0
      13          28.2     26294.0
      14          28.4     26217.0
      15          28.7     26140.0
      16          28.9     26063.0
      17          29.2     25986.0
      18          29.5     25909.0
      19          29.7     25832.0
      20          30.0     25755.0
      21          30.2     25678.0
      22          30.5     25601.0
      23          30.7     25524.0
      24          31.0     25447.0
      25          31.2     25370.0
      26          31.5     25293.0
      27          31.8     25216.0
      28          32.0     25139.0
      29          32.3     25062.0
      30          32.5     24985.0
      31          32.8     24908.0
      32          33.0     24831.0
      33          33.3     24754.0
      34          33.6     24677.0
      35          33.8     24600.0
      36          34.1     24523.0
      37          34.3     24446.0
      38          34.6     24369.0
      39          34.9     24292.0
      40          35.2     24215.0
      41          35.4     24138.0
      42          35.7     24061.0
      43          36.0     23984.0
      44          36.1     23830.0
      45          36.6     23741.0
      46          36.9     23664.0
      47          37.1     23587.0
      48          37.4     23510.0
      49          37.7     23433.0
      50          38.0     23356.0
      51          38.4     23279.0
      52          38.6     23202.0
      53          38.9     23125.0
      54          39.1     23048.0
      55          39.4     22971.0
      56          39.6     22894.0
      57          39.9     22817.0
      58          40.1     22740.0
      59          40.4     22663.0
      60          40.6     22586.0
      61          40.9     22509.0
      62          41.1     22432.0
      63          41.4     22355.0
      64          41.6     22278.0
      65          41.9     22201.0
      66          42.1     22124.0
      67          42.4     22047.0
      68          42.6     21970.0
      69          42.8     21816.0
      70          44.0     21792.0
      71          46.6     21771.0
      72          47.1     21755.0
      73          47.6     21731.0
      74          48.4     21723.0
      75          49.1     21699.0
      76         150.7     21683.0
      77         198.9     21638.0
      78         209.8     21587.0
      79         215.7     21577.0
      80         227.0     21508.0
      81         241.7     21481.0
      82         246.6     21370.0
      83         247.4     21341.0
      84         247.9     21187.0
      85         258.2     21160.0
      86         327.1     21150.0
      87         347.1     21081.0
      88         347.8     21065.0
      89         348.8     21041.0
      90         350.6     21028.0
      91         351.3     21004.0
      92         431.8     20998.0
      93         463.7     20974.0
      94         497.9     20908.0
      96         734.1     20884.0
      97         776.6     20849.0
      98         787.0     20812.0
      99         791.3     20759.0
     100         791.8     20605.0
     101         793.1     20515.0
     103         803.9     20491.0
     104         835.1     20459.0
     105         920.7     20435.0
     106        1193.2     20391.0
     107        1198.5     20364.0
     108        1219.1     20269.0
     109        1219.9     20242.0
     110        1235.7     20218.0
     111        1445.2     20123.0
     112        1578.3     20112.0
     113        2238.4     20041.0
     115        2318.3     20017.0
     116        2835.1     20006.0
     117        2851.5     19972.0
     118        5244.7     19959.0
     119        5247.2     19946.0
     120        5247.4     19792.0
     121        5267.0     19681.0
     122        5270.2     19647.0
     123        5364.9     19646.0
     124        5415.3     19559.0
     125        5416.4     19535.0
     126        5419.4     19501.0
     127       11161.4     19484.0
     128       11685.4     19469.0
     129       11686.4     19445.0
     130       11691.3     19413.0
     131       12910.6     19406.0
     132       13499.1     19385.0
     133       13499.7     19231.0
     134       13525.4     19186.0
     135       13525.8     19032.0
     136       13531.4     18971.0
     137       13755.7     18963.0
     138       13763.0     18960.0
     139       13764.6     18902.0
     140       14779.1     18804.0
     141       14788.2     18772.0
     142       16034.4     18726.0
     143       18988.3     18713.0
     144       19001.8     18644.0
     145       20110.7     18607.0
     146       21054.6     18598.0
     147       21109.5     18490.0
     148       21114.1     18437.0
     149       21115.1     18323.0
     150       21115.7     18270.0
     151       21118.5     18267.0
     152       21118.9     18153.0
     153       22718.9     18063.0
     154       33517.5     17981.0
     155       33593.6     17960.0
     156       33594.1     17904.0
     157       33594.6     17790.0
     158       33602.7     17753.0
     159       33604.8     17742.0
     160       33605.1     17684.0
     161       33699.5     17655.0
     162       33700.1     17639.0
     163       33700.4     17485.0
     164       33702.2     17427.0
     165       33828.4     17405.0
     166       33831.2     17283.0
     167       34022.2     17262.0
     168       34032.0     17145.0
     169       34468.2     17132.0
     170       34468.8     17018.0
     171       41227.1     16997.0
     172       41233.5     16981.0
     173       41235.3     16978.0
     174       41236.1     16864.0
     175       41688.2     16859.0
     176       41705.2     16764.0
     177       41708.6     16737.0
     178       41713.0     16703.0
     179       45514.5     16647.0
     180       45544.8     16613.0
     182       49714.5     16578.0
     183       49737.0     16501.0
     184       63276.7     16448.0
     186       63278.6     16342.0
     187       63280.6     16286.0
     188       63335.3     16253.0
     189       63413.5     16210.0
     190       63414.5     16173.0
     191       63416.4     16154.0
     192       63416.8     16117.0
     193       64651.8     16096.0
     194       64652.4     15990.0
     195       64656.1     15966.0
     196       64656.5     15929.0
     197       64659.9     15852.0
     198      152295.7     15822.0
     199      152371.6     15813.0
     200      152372.2     15659.0
     201      153975.2     15559.0
     202      153983.4     15496.0
     203      153984.0     15342.0
     204      154174.5     15341.0
     205      154175.2     15283.0
     206      154188.5     15156.0
     207      154644.0     15082.0
     208      154645.8     15024.0
     209      154660.2     15019.0
     210      154663.6     14961.0
     211      154664.1     14807.0
     212      157008.4     14796.0
     213      157009.9     14764.0
     214      157038.3     14732.0
     215      179643.4     14700.0
     216      179685.5     14674.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          25.0     27218.0  26824, 12, 116, 21, 48, 7, 5, 90, 89, 0, 6
       2          25.3     27141.0  26748, 12, 116, 21, 47, 7, 5, 90, 89, 0, 6
       3          25.6     27064.0  26672, 12, 116, 21, 46, 7, 5, 90, 89, 0, 6
       4          25.9     26987.0  26596, 12, 116, 21, 45, 7, 5, 90, 89, 0, 6
       5          26.1     26910.0  26520, 12, 116, 21, 44, 7, 5, 90, 89, 0, 6
       6          26.4     26833.0  26444, 12, 116, 21, 43, 7, 5, 90, 89, 0, 6
       7          26.6     26756.0  26368, 12, 116, 21, 42, 7, 5, 90, 89, 0, 6
       8          26.9     26679.0  26292, 12, 116, 21, 41, 7, 5, 90, 89, 0, 6
       9          27.1     26602.0  26216, 12, 116, 21, 40, 7, 5, 90, 89, 0, 6
      10          27.4     26525.0  26140, 12, 116, 21, 39, 7, 5, 90, 89, 0, 6
      11          27.7     26448.0  26064, 12, 116, 21, 38, 7, 5, 90, 89, 0, 6
      12          27.9     26371.0  25988, 12, 116, 21, 37, 7, 5, 90, 89, 0, 6
      13          28.2     26294.0  25912, 12, 116, 21, 36, 7, 5, 90, 89, 0, 6
      14          28.4     26217.0  25836, 12, 116, 21, 35, 7, 5, 90, 89, 0, 6
      15          28.7     26140.0  25760, 12, 116, 21, 34, 7, 5, 90, 89, 0, 6
      16          28.9     26063.0  25684, 12, 116, 21, 33, 7, 5, 90, 89, 0, 6
      17          29.2     25986.0  25608, 12, 116, 21, 32, 7, 5, 90, 89, 0, 6
      18          29.5     25909.0  25532, 12, 116, 21, 31, 7, 5, 90, 89, 0, 6
      19          29.7     25832.0  25456, 12, 116, 21, 30, 7, 5, 90, 89, 0, 6
      20          30.0     25755.0  25380, 12, 116, 21, 29, 7, 5, 90, 89, 0, 6
      21          30.2     25678.0  25304, 12, 116, 21, 28, 7, 5, 90, 89, 0, 6
      22          30.5     25601.0  25228, 12, 116, 21, 27, 7, 5, 90, 89, 0, 6
      23          30.7     25524.0  25152, 12, 116, 21, 26, 7, 5, 90, 89, 0, 6
      24          31.0     25447.0  25076, 12, 116, 21, 25, 7, 5, 90, 89, 0, 6
      25          31.2     25370.0  25000, 12, 116, 21, 24, 7, 5, 90, 89, 0, 6
      26          31.5     25293.0  24924, 12, 116, 21, 23, 7, 5, 90, 89, 0, 6
      27          31.8     25216.0  24848, 12, 116, 21, 22, 7, 5, 90, 89, 0, 6
      28          32.0     25139.0  24772, 12, 116, 21, 21, 7, 5, 90, 89, 0, 6
      29          32.3     25062.0  24696, 12, 116, 21, 20, 7, 5, 90, 89, 0, 6
      30          32.5     24985.0  24620, 12, 116, 21, 19, 7, 5, 90, 89, 0, 6
      31          32.8     24908.0  24544, 12, 116, 21, 18, 7, 5, 90, 89, 0, 6
      32          33.0     24831.0  24468, 12, 116, 21, 17, 7, 5, 90, 89, 0, 6
      33          33.3     24754.0  24392, 12, 116, 21, 16, 7, 5, 90, 89, 0, 6
      34          33.6     24677.0  24316, 12, 116, 21, 15, 7, 5, 90, 89, 0, 6
      35          33.8     24600.0  24240, 12, 116, 21, 14, 7, 5, 90, 89, 0, 6
      36          34.1     24523.0  24164, 12, 116, 21, 13, 7, 5, 90, 89, 0, 6
      37          34.3     24446.0  24088, 12, 116, 21, 12, 7, 5, 90, 89, 0, 6
      38          34.6     24369.0  24012, 12, 116, 21, 11, 7, 5, 90, 89, 0, 6
      39          34.9     24292.0  23936, 12, 116, 21, 10, 7, 5, 90, 89, 0, 6
      40          35.2     24215.0  23860, 12, 116, 21, 9, 7, 5, 90, 89, 0, 6
      41          35.4     24138.0  23784, 12, 116, 21, 8, 7, 5, 90, 89, 0, 6
      42          35.7     24061.0  23708, 12, 116, 21, 7, 7, 5, 90, 89, 0, 6
      43          36.0     23984.0  23632, 12, 116, 21, 6, 7, 5, 90, 89, 0, 6
      44          36.1     23830.0  23480, 12, 116, 21, 4, 7, 5, 90, 89, 0, 6
      45          36.6     23741.0  23404, 12, 116, 21, 29, 7, 5, 52, 89, 0, 6
      46          36.9     23664.0  23328, 12, 116, 21, 28, 7, 5, 52, 89, 0, 6
      47          37.1     23587.0  23252, 12, 116, 21, 27, 7, 5, 52, 89, 0, 6
      48          37.4     23510.0  23176, 12, 116, 21, 26, 7, 5, 52, 89, 0, 6
      49          37.7     23433.0  23100, 12, 116, 21, 25, 7, 5, 52, 89, 0, 6
      50          38.0     23356.0  23024, 12, 116, 21, 24, 7, 5, 52, 89, 0, 6
      51          38.4     23279.0  22948, 12, 116, 21, 23, 7, 5, 52, 89, 0, 6
      52          38.6     23202.0  22872, 12, 116, 21, 22, 7, 5, 52, 89, 0, 6
      53          38.9     23125.0  22796, 12, 116, 21, 21, 7, 5, 52, 89, 0, 6
      54          39.1     23048.0  22720, 12, 116, 21, 20, 7, 5, 52, 89, 0, 6
      55          39.4     22971.0  22644, 12, 116, 21, 19, 7, 5, 52, 89, 0, 6
      56          39.6     22894.0  22568, 12, 116, 21, 18, 7, 5, 52, 89, 0, 6
      57          39.9     22817.0  22492, 12, 116, 21, 17, 7, 5, 52, 89, 0, 6
