========================================
  RÉSULTATS : 4voices_1_1_1_3_vtype_1_3_2
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 2
v_type            : 1 3 2
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 47.3
Temps dernière amélio. (ms) : 251059.0
Solutions trouvées          : 117
Améliorations de coût       : 114
Score pondéré           : 20660.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3661334
Échecs     : 1830531
Restarts   : 0
Propagat.  : 2365328009
Profondeur : 115

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          47.3     32209.0
       2          48.8     31989.0
       3          49.1     31934.0
       4          49.4     31879.0
       5          49.8     31824.0
       6          50.1     31769.0
       7          50.3     31714.0
       8          50.6     31659.0
       9          50.8     31604.0
      10          51.0     31549.0
      11          51.2     31329.0
      12          51.4     30626.0
      13          52.0     30406.0
      14          52.3     30351.0
      15          52.5     30296.0
      16          52.8     30241.0
      17          53.0     30186.0
      18          53.2     30131.0
      19          53.5     30076.0
      20          53.7     30021.0
      21          54.0     29966.0
      22          54.1     29746.0
      23          54.8     29616.0
      24         122.6     28861.0
      25         123.5     28641.0
      26         123.8     28586.0
      27         124.1     28531.0
      28         124.5     28476.0
      29         124.8     28421.0
      30         124.9     28201.0
      31         128.9     28192.0
      32         135.1     28154.0
      33         135.8     28145.0
      34         138.2     27950.0
      35         139.9     27941.0
      36         164.7     27819.0
      37         186.6     27697.0
      38         266.9     27507.0
      39         267.2     27452.0
      40         267.6     27397.0
      41         267.9     27342.0
      42         268.3     27287.0
      43         268.6     27232.0
      44         268.9     27177.0
      45         269.2     27122.0
      46         269.4     27067.0
      47         269.7     27012.0
      48         270.0     26957.0
      49         270.2     26902.0
      50         270.5     26847.0
      51         270.7     26627.0
      52         278.9     26555.0
      53         279.4     26439.0
      54         281.5     26430.0
      55         283.5     26383.0
      56         292.5     26302.0
      57         293.7     26186.0
      58         294.8     26139.0
      59         361.1     26065.0
      60         362.1     25935.0
      61        1099.6     25901.0
      62        1100.3     25681.0
      63        3035.6     25558.0
      64       12053.4     25510.0
      65       12055.2     25463.0
      66       12057.4     25259.0
      67       12063.6     25170.0
      68       12064.4     25054.0
      69       12066.2     25007.0
      70       12069.4     24933.0
      71       12070.6     24926.0
      72       12070.7     24803.0
      73       12295.3     24774.0
      74       12296.4     24644.0
      75       12298.1     24521.0
      76       12766.4     24425.0
      77       12767.9     24295.0
      78       14034.7     24199.0
      79       17193.9     24086.0
      80       17328.9     23868.0
      81       20478.1     23858.0
      82       20478.9     23728.0
      83       28968.2     23622.0
      84       32652.4     23575.0
      85       39292.1     23452.0
      86       51642.8     23444.0
      87       51677.0     23404.0
      88       52820.9     23314.0
      89       60286.4     23246.0
      91       74185.5     23191.0
      92       74185.7     22971.0
      93       74253.9     22773.0
      94       91585.3     22763.0
      95       91585.9     22543.0
      96       91587.9     22469.0
      97       91590.6     22339.0
      98       92182.6     22234.0
      99       92233.9     22192.0
     100       92401.6     22015.0
     101       92600.5     21925.0
     102       95002.5     21890.0
     103       96656.2     21856.0
     104       96702.2     21652.0
     105       96795.1     21610.0
     106       99461.8     21522.0
     108      146286.6     21420.0
     109      147035.5     21331.0
     111      150259.1     21129.0
     112      150509.1     21103.0
     113      150558.5     21014.0
     114      249229.1     20962.0
     115      249231.5     20832.0
     116      249279.4     20742.0
     117      251059.0     20660.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          47.3     32209.0  31690, 12, 144, 16, 19, 6, 0, 36, 16, 0, 251, 3, 16
       2          48.8     31989.0  31474, 12, 144, 16, 19, 6, 0, 36, 12, 0, 251, 3, 16
       3          49.1     31934.0  31420, 12, 144, 16, 19, 6, 0, 36, 11, 0, 251, 3, 16
       4          49.4     31879.0  31366, 12, 144, 16, 19, 6, 0, 36, 10, 0, 251, 3, 16
