========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_1_2_3
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 1 2 3
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 19.2
Temps dernière amélio. (ms) : 442991.6
Solutions trouvées          : 105
Améliorations de coût       : 102
Score pondéré           : 15625.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3901833
Échecs     : 1950799
Restarts   : 0
Propagat.  : 2928671330
Profondeur : 76

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          19.2     48767.0
       2          20.9     48183.0
       3          21.8     48144.0
       4          22.2     47876.0
       5          22.9     47760.0
       6          23.6     47721.0
       7          23.9     47453.0
       8          39.9     47401.0
       9          40.3     47293.0
      10          79.2     47254.0
      11          88.9     47089.0
      12         132.0     47014.0
      13         207.2     46918.0
      14         207.6     46834.0
      15         208.7     46765.0
      16         209.5     46681.0
      17         209.8     46411.0
      18         221.4     46263.0
      19         223.8     45995.0
      20         231.9     45901.0
      21         232.6     45631.0
      22         285.5     45623.0
      23         312.1     45428.0
      24         312.6     45389.0
      25         396.0     45340.0
      26         401.5     45208.0
      27         402.0     45169.0
      28         403.1     45064.0
      29         403.3     45025.0
      30       13674.8     44936.0
      31       13725.0     44762.0
      32       13765.3     44549.0
      34       13844.1     44461.0
      35       14018.7     44392.0
      36       14021.7     44356.0
      37       14024.9     44338.0
      38       14136.8     44284.0
      39       14342.0     44257.0
      40       14350.9     44068.0
      41       16655.3     23382.0
      42       16656.5     23298.0
      43       16657.4     21530.0
      44       16658.3     21217.0
      45       16659.8     20995.0
      46       16662.6     20627.0
      47       16663.6     20245.0
      48       16665.1     20131.0
      49       16677.2     19996.0
      50       16688.3     19944.0
      51       16691.0     19836.0
      52       16699.0     19632.0
      53       16719.5     19578.0
      54       16807.4     19521.0
      55       16908.8     19472.0
      56       16909.7     19457.0
      57       16914.3     19393.0
      58       16917.3     19318.0
      59       16918.4     19210.0
      60       16920.4     19190.0
      61       16921.5     18916.0
      62       16922.5     18694.0
      63       16926.7     18322.0
      64       16929.1     18148.0
      65       17076.3     18090.0
      66       17155.7     17969.0
      67       17186.2     17882.0
      68       17187.6     17722.0
      69       17188.1     17500.0
      70       17385.3     17431.0
      71       18671.6     17392.0
      72       18687.5     17371.0
      73       21550.6     17364.0
      74       21559.6     17211.0
      76       21644.5     17132.0
      77       21698.5     17075.0
      78       21700.4     16895.0
      79       21704.3     16856.0
      80       21732.8     16826.0
      81       21733.6     16751.0
      82       22172.1     16730.0
      83       22647.8     16618.0
      84       22659.7     16558.0
      85       23254.7     16528.0
      86       23255.9     16498.0
      87       23317.7     16414.0
      88       25749.8     16396.0
      89       30350.4     16359.0
      90       30670.7     16284.0
      91       30747.8     16266.0
      92       33609.8     16203.0
      93       33667.9     16101.0
      94       33757.6     16026.0
      95       33898.3     15996.0
      97      111130.2     15954.0
      98      145644.0     15923.0
      99      147097.7     15905.0
     100      232281.7     15869.0
     101      235604.9     15809.0
     102      325028.7     15671.0
     103      359030.0     15647.0
     104      362098.1     15629.0
     105      442991.6     15625.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          19.2     48767.0  47880, 10, 114, 15, 3, 0, 22, 707, 0, 16
       2          20.9     48183.0  47301, 12, 104, 14, 5, 0, 22, 708, 0, 17
       3          21.8     48144.0  47263, 12, 104, 15, 4, 0, 20, 710, 0, 16
       4          22.2     47876.0  46998, 10, 104, 14, 4, 0, 22, 708, 0, 16
       5          22.9     47760.0  46881, 12, 98, 15, 4, 0, 24, 707, 0, 19
       6          23.6     47721.0  46843, 12, 98, 16, 3, 0, 22, 709, 0, 18
       7          23.9     47453.0  46578, 10, 98, 15, 3, 0, 24, 707, 0, 18
       8          39.9     47401.0  46523, 8, 98, 14, 3, 0, 22, 713, 0, 20
       9          40.3     47293.0  46418, 8, 98, 14, 3, 0, 22, 712, 0, 18
      10          79.2     47254.0  46380, 8, 98, 14, 2, 0, 18, 720, 0, 14
      11          88.9     47089.0  46219, 8, 98, 14, 3, 0, 22, 709, 0, 16
      12         132.0     47014.0  46145, 8, 98, 15, 2, 0, 18, 712, 0, 16
      13         207.2     46918.0  46063, 8, 110, 15, 4, 0, 20, 680, 0, 18
      14         207.6     46834.0  45980, 8, 110, 14, 4, 0, 20, 680, 0, 18
      15         208.7     46765.0  45910, 8, 108, 14, 3, 0, 20, 684, 0, 18
      16         209.5     46681.0  45827, 8, 108, 14, 3, 0, 20, 681, 0, 20
      17         209.8     46411.0  45560, 8, 104, 15, 3, 0, 22, 679, 0, 20
      18         221.4     46263.0  45415, 12, 98, 16, 3, 0, 20, 681, 0, 18
      19         223.8     45995.0  45150, 10, 98, 15, 3, 0, 22, 679, 0, 18
      20         231.9     45901.0  45058, 8, 102, 13, 3, 0, 18, 683, 0, 16
      21         232.6     45631.0  44791, 8, 98, 14, 3, 0, 20, 681, 0, 16
      22         285.5     45623.0  44785, 10, 98, 15, 3, 0, 22, 670, 0, 20
      23         312.1     45428.0  44595, 10, 98, 15, 2, 0, 22, 670, 0, 16
      24         312.6     45389.0  44557, 10, 98, 15, 3, 0, 20, 670, 0, 16
      25         396.0     45340.0  44507, 8, 98, 15, 2, 0, 20, 676, 0, 14
      26         401.5     45208.0  44377, 8, 98, 14, 2, 0, 20, 675, 0, 14
      27         402.0     45169.0  44339, 8, 98, 14, 3, 0, 18, 675, 0, 14
      28         403.1     45064.0  44236, 8, 98, 14, 2, 0, 20, 672, 0, 14
      29         403.3     45025.0  44198, 8, 98, 14, 3, 0, 18, 672, 0, 14
      30       13674.8     44936.0  44099, 10, 84, 15, 4, 0, 22, 680, 0, 22
      31       13725.0     44762.0  43929, 10, 84, 15, 4, 0, 22, 677, 0, 21
      32       13765.3     44549.0  43721, 10, 84, 15, 5, 0, 22, 671, 0, 21
      33       13767.7     44549.0  43721, 10, 84, 15, 5, 0, 20, 674, 0, 20
      34       13844.1     44461.0  43633, 8, 84, 14, 5, 0, 24, 674, 0, 19
      35       14018.7     44392.0  43566, 8, 84, 15, 4, 0, 24, 673, 0, 18
      36       14021.7     44356.0  43530, 8, 84, 15, 4, 0, 24, 671, 0, 20
      37       14024.9     44338.0  43512, 8, 84, 15, 4, 0, 22, 673, 0, 20
      38       14136.8     44284.0  43458, 8, 84, 14, 4, 0, 20, 676, 0, 20
      39       14342.0     44257.0  43434, 8, 84, 14, 5, 0, 22, 674, 0, 16
      40       14350.9     44068.0  43248, 8, 84, 14, 4, 0, 20, 674, 0, 16
      41       16655.3     23382.0  23056, 24, 128, 17, 6, 0, 26, 108, 0, 17
      42       16656.5     23298.0  22973, 24, 128, 17, 6, 0, 26, 105, 0, 19
      43       16657.4     21530.0  21225, 22, 112, 16, 6, 0, 28, 104, 0, 17
      44       16658.3     21217.0  20915, 20, 112, 16, 5, 0, 26, 105, 0, 18
      45       16659.8     20995.0  20698, 20, 112, 16, 5, 0, 24, 104, 0, 16
      46       16662.6     20627.0  20334, 16, 112, 16, 5, 0, 26, 103, 0, 15
      47       16663.6     20245.0  19957, 14, 112, 15, 5, 0, 26, 101, 0, 15
      48       16665.1     20131.0  19845, 14, 112, 15, 5, 0, 22, 104, 0, 14
      49       16677.2     19996.0  19713, 14, 112, 16, 4, 0, 22, 101, 0, 14
      50       16688.3     19944.0  19658, 12, 112, 15, 4, 0, 20, 107, 0, 16
      51       16691.0     19836.0  19553, 12, 112, 15, 4, 0, 20, 106, 0, 14
      52       16699.0     19632.0  19354, 12, 112, 15, 4, 0, 20, 103, 0, 12
      53       16719.5     19578.0  19300, 12, 112, 14, 4, 0, 20, 103, 0, 13
      54       16807.4     19521.0  19244, 12, 112, 14, 5, 0, 18, 102, 0, 14
      55       16908.8     19472.0  19192, 16, 102, 15, 4, 0, 22, 107, 0, 14
      56       16909.7     19457.0  19176, 16, 102, 14, 5, 0, 20, 108, 0, 16
      57       16914.3     19393.0  19113, 14, 104, 14, 5, 0, 20, 107, 0, 16
      58       16917.3     19318.0  19040, 20, 96, 16, 4, 0, 22, 104, 0, 16
      59       16918.4     19210.0  18935, 20, 96, 16, 4, 0, 22, 103, 0, 14
      60       16920.4     19190.0  18911, 16, 96, 16, 4, 0, 22, 111, 0, 14
      61       16921.5     18916.0  18639, 14, 96, 15, 4, 0, 22, 110, 0, 16
      62       16922.5     18694.0  18422, 14, 96, 15, 4, 0, 20, 109, 0, 14
      63       16926.7     18322.0  18057, 14, 96, 15, 4, 0, 20, 100, 0, 16
      64       16929.1     18148.0  17887, 14, 96, 15, 4, 0, 18, 100, 0, 14
      65       17076.3     18090.0  17828, 12, 96, 14, 4, 0, 20, 103, 0, 13
      66       17155.7     17969.0  17706, 10, 96, 14, 5, 0, 20, 100, 0, 18
      67       17186.2     17882.0  17621, 10, 96, 15, 4, 0, 20, 98, 0, 18
      68       17187.6     17722.0  17461, 8, 96, 14, 4, 0, 22, 97, 0, 20
      69       17188.1     17500.0  17244, 8, 96, 14, 4, 0, 20, 96, 0, 18
      70       17385.3     17431.0  17177, 8, 96, 15, 3, 0, 18, 98, 0, 16
      71       18671.6     17392.0  17139, 8, 96, 15, 2, 0, 18, 100, 0, 14
      72       18687.5     17371.0  17119, 8, 96, 14, 3, 0, 18, 101, 0, 12
      73       21550.6     17364.0  17104, 12, 82, 15, 4, 0, 22, 109, 0, 16
      74       21559.6     17211.0  16954, 12, 82, 15, 5, 0, 22, 103, 0, 18
      75       21561.1     17211.0  16954, 12, 82, 15, 5, 0, 20, 106, 0, 17
      76       21644.5     17132.0  16878, 10, 88, 14, 4, 0, 18, 102, 0, 18
      77       21698.5     17075.0  16819, 10, 82, 16, 3, 0, 24, 104, 0, 17
      78       21700.4     16895.0  16642, 10, 82, 15, 3, 0, 20, 108, 0, 15
      79       21704.3     16856.0  16604, 10, 82, 15, 4, 0, 22, 102, 0, 17
      80       21732.8     16826.0  16575, 10, 82, 15, 4, 0, 20, 105, 0, 15
      81       21733.6     16751.0  16501, 10, 82, 15, 3, 0, 20, 105, 0, 15
      82       22172.1     16730.0  16481, 10, 82, 14, 4, 0, 20, 106, 0, 13
      83       22647.8     16618.0  16368, 8, 82, 14, 4, 0, 20, 106, 0, 16
      84       22659.7     16558.0  16310, 8, 82, 14, 4, 0, 20, 106, 0, 14
      85       23254.7     16528.0  16281, 8, 82, 14, 4, 0, 22, 103, 0, 14
      86       23255.9     16498.0  16252, 8, 82, 14, 4, 0, 20, 106, 0, 12
      87       23317.7     16414.0  16169, 8, 82, 14, 4, 0, 20, 103, 0, 14
