========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_1_1_3
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 1 1 3
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.1
Temps 1ère solution (ms)    : 30.1
Temps dernière amélio. (ms) : 303226.3
Solutions trouvées          : 158
Améliorations de coût       : 155
Score pondéré           : 9702.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3713341
Échecs     : 1856496
Restarts   : 0
Propagat.  : 2797485352
Profondeur : 86

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          30.1     25497.0
       2          31.2     24974.0
       3          31.6     24502.0
       4          33.5     24173.0
       5          35.1     24152.0
       6          36.0     24098.0
       7          38.3     24077.0
       8          43.9     23943.0
       9          50.7     23937.0
      10          52.9     23823.0
      11          54.2     23802.0
      12          56.3     23748.0
      13          58.7     23727.0
      14          77.7     23544.0
      15          82.5     23523.0
      16         120.2     23457.0
      17         261.6     23441.0
      18         265.9     23420.0
      19         323.1     23375.0
      20         357.2     23360.0
      21         358.6     23294.0
      22         381.3     21750.0
      23         382.9     21221.0
      24         383.9     21131.0
      25         384.1     20759.0
      26         388.9     20558.0
      27         393.2     20419.0
      28         397.8     20185.0
      29         406.2     20122.0
      30         411.6     19981.0
      31         414.1     19915.0
      32         526.8     19882.0
      33         842.7     19845.0
      34         893.4     19752.0
      35        1385.2     19713.0
      36        1386.8     19703.0
      37        1388.9     19477.0
      38        1397.0     19239.0
      39        1402.7     19013.0
      40        1414.3     18849.0
      41        1417.1     18737.0
      42        1480.9     18442.0
      43        1482.9     18354.0
      44        1515.3     18252.0
      45        1531.1     18235.0
      46        1540.5     18177.0
      47        1556.8     18105.0
      48        1595.8     18046.0
      49        1609.7     18030.0
      50        2052.9     17874.0
      51        2471.0     17844.0
      52        2500.9     17820.0
      53        2729.5     17809.0
      54        2734.4     17743.0
      55        2784.8     17676.0
      56        2789.4     17469.0
      57        3511.1     17415.0
      58        3679.2     17271.0
      59        3980.5     17259.0
      60        4131.9     17235.0
      61        4135.1     17105.0
      62        4145.3     16729.0
      63        4147.4     16666.0
      64        4148.3     16525.0
      65        4148.7     16459.0
      66        4151.9     16329.0
      67        4260.2     16098.0
      68        4347.6     16065.0
      69        4541.4     15802.0
      70        4542.5     15766.0
      71        4544.5     15748.0
      72        4554.0     15408.0
      73        4645.9     15273.0
      74        4970.8     15270.0
      75        4975.4     15210.0
      76        4976.0     15142.0
      77        5067.3     15130.0
      78        5303.3     14980.0
      79        5365.1     14968.0
      80        5588.0     14886.0
      81        7712.0     14821.0
      82        7712.5     14698.0
      83        8768.6     14599.0
      84        8769.3     14563.0
      85       10094.0     14518.0
      86       10214.0     14454.0
      87       10214.4     14316.0
      88       10705.0     14304.0
      89       10706.7     14217.0
      90       10707.1     14181.0
      91       10899.5     14146.0
      92       10902.3     14086.0
      93       10909.0     13942.0
      94       10936.0     13888.0
      95       10937.7     13744.0
      96       10942.3     13648.0
      97       10946.2     13528.0
      98       10949.7     13510.0
      99       10957.2     13336.0
     100       11078.5     13299.0
     101       11087.1     13245.0
     102       11114.4     13110.0
     103       12672.3     12932.0
