========================================
  RÉSULTATS : 4voices_1_1_1_1_vtype_2_3_3
========================================

--- Configuration ---
CF                : direct_cf_Majeur
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 4
Espèces (incl CF) : 1 0 0 0
v_type            : 2 3 3
Timeout max (ms)  : 480000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 480000.3
Temps 1ère solution (ms)    : 11.4
Temps dernière amélio. (ms) : 228977.5
Solutions trouvées          : 138
Améliorations de coût       : 129
Score pondéré           : 9916.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 3590557
Échecs     : 1795130
Restarts   : 0
Propagat.  : 3153239276
Profondeur : 69

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          11.4     27054.0
       2          12.5     26975.0
       3          13.8     26236.0
       4          30.8     26137.0
       5          31.8     26058.0
       6          66.2     26055.0
       7          67.0     26034.0
       8          96.8     25008.0
       9          97.5     24681.0
      10         105.4     24510.0
      11         122.4     24378.0
      12         127.7     24354.0
      13         133.6     24323.0
      14         138.8     24248.0
      15         145.0     24178.0
      16         146.9     24142.0
      17         165.1     24130.0
      18         183.7     24077.0
      19         184.4     23875.0
      20         500.9     23791.0
      21         532.3     23767.0
      22         671.7     22720.0
      23         673.1     22701.0
      24         673.8     22497.0
      25         679.9     22425.0
      26         708.1     22392.0
      27         976.8     22340.0
      28         986.3     22232.0
      29        1218.2     22196.0
      30        1226.2     22124.0
      31        1782.8     21400.0
      32        1784.5     20878.0
      33        1786.4     19661.0
      34        1787.9     19567.0
      35        1790.5     19555.0
      36        1791.2     19471.0
      37        1791.6     19087.0
      38        1792.7     18993.0
      39        1802.8     18619.0
      40        1804.4     18525.0
      41        1810.5     18513.0
      42        1906.8     18452.0
      43        2009.5     18356.0
      44        2973.3     18154.0
      45        2983.0     17952.0
      46        2999.3     17902.0
      48        3037.9     17833.0
      50        3239.3     17768.0
      51        3256.8     17720.0
      52        3259.6     17651.0
