cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-1,3-3-3,480000,0,480000.0,30.8,94259.9,172,172,16352.0,TIMEOUT_MAX,3522553,1761093,0,2749242047,103

# Améliorations
solution_num,temps_ms,cout
1,30.8,55824.0
2,31.4,55747.0
3,31.7,55670.0
4,31.9,55593.0
5,32.2,55516.0
6,32.4,55439.0
7,32.7,55362.0
8,32.9,55285.0
9,33.2,55208.0
10,33.4,55131.0
11,33.7,55054.0
12,33.9,54977.0
13,34.2,54900.0
14,34.4,54823.0
15,34.7,54746.0
16,34.9,54669.0
17,35.2,54592.0
18,35.4,54515.0
19,35.7,54438.0
20,35.9,54361.0
21,36.2,54284.0
22,36.4,54207.0
23,36.7,54130.0
24,36.9,54053.0
25,37.2,53976.0
26,37.4,53899.0
27,37.6,53822.0
28,37.9,53745.0
29,38.1,53668.0
30,38.4,53591.0
31,38.6,53514.0
32,38.9,53437.0
33,39.1,53360.0
34,39.4,53283.0
35,39.6,53206.0
36,39.9,53129.0
37,40.1,53052.0
38,40.4,52975.0
39,40.6,52898.0
40,40.9,52821.0
41,41.1,52744.0
42,41.4,52667.0
43,41.6,52590.0
44,41.9,52513.0
45,42.1,52436.0
46,42.3,52282.0
47,44.2,52236.0
48,44.4,52159.0
49,44.6,52005.0
50,52.4,51899.0
51,71.6,51896.0
52,72.3,51819.0
53,72.7,51665.0
54,128.1,25190.0
55,128.4,25113.0
56,128.7,25036.0
57,129.0,24959.0
58,129.2,24882.0
59,129.5,24805.0
60,129.8,24728.0
61,130.0,24651.0
62,130.3,24574.0
63,130.5,24497.0
64,130.8,24420.0
65,131.0,24343.0
66,131.3,24266.0
67,131.5,24189.0
68,131.8,24112.0
69,132.0,24035.0
70,132.2,23958.0
71,132.5,23881.0
72,132.8,23804.0
73,133.1,23727.0
74,133.4,23650.0
75,133.7,23573.0
76,134.0,23496.0
77,134.2,23419.0
78,134.5,23342.0
79,134.7,23265.0
80,135.0,23188.0
81,135.2,23111.0
82,135.5,23034.0
83,135.7,22957.0
84,136.0,22880.0
85,136.2,22803.0
86,136.5,22726.0
87,136.7,22649.0
88,137.0,22572.0
89,137.2,22495.0
90,137.5,22418.0
91,137.8,22341.0
92,138.0,22264.0
93,138.3,22187.0
94,138.6,22110.0
95,138.8,22033.0
96,139.1,21956.0
97,139.2,21802.0
98,139.8,21751.0
99,140.1,21597.0
100,144.5,21576.0
101,144.9,21422.0
102,146.6,21369.0
103,147.7,21339.0
104,149.1,21326.0
105,149.9,21249.0
106,150.2,21172.0
107,150.6,21095.0
108,150.9,21018.0
109,151.2,20941.0
110,151.5,20787.0
111,162.4,20744.0
112,163.4,20691.0
113,165.1,20654.0
114,198.1,20649.0
115,198.4,20572.0
116,198.7,20418.0
117,292.6,20388.0
118,303.9,20361.0
119,304.6,20308.0
120,307.0,20295.0
121,307.7,20271.0
122,555.8,20266.0
123,556.5,20189.0
124,556.9,20035.0
125,584.7,19989.0
126,585.3,19835.0
127,585.7,19712.0
128,589.8,19675.0
129,617.0,19614.0
130,618.3,19574.0
131,618.8,19497.0
132,619.1,19343.0
133,732.9,19304.0
134,739.1,19232.0
135,739.8,19155.0
136,740.3,19001.0
137,756.7,18873.0
138,757.6,18846.0
139,758.1,18692.0
140,760.4,18607.0
141,769.6,18549.0
142,770.2,18472.0
143,770.9,18395.0
144,771.2,18241.0
145,806.5,18215.0
146,807.0,18061.0
147,845.7,17941.0
148,958.7,17928.0
149,1064.8,17875.0
150,1067.1,17859.0
151,1068.2,17779.0
152,1069.0,17644.0
153,1070.0,17620.0
154,1074.4,17522.0
155,1087.0,17495.0
156,1108.9,17397.0
157,2108.1,17336.0
158,17348.6,17317.0
159,17450.6,17288.0
160,24495.3,17271.0
161,24576.8,17194.0
162,24870.1,17191.0
163,24870.4,17114.0
164,24870.8,16960.0
165,24889.7,16849.0
166,24906.3,16753.0
167,25026.8,16719.0
168,48982.4,16703.0
169,48989.7,16639.0
170,48990.1,16485.0
171,49547.9,16387.0
172,94259.9,16352.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,30.8,55824.0,"54880; 6; 126; 6; 48; 9; 4; 631; 105; 0; 9"
2,31.4,55747.0,"54804; 6; 126; 6; 47; 9; 4; 631; 105; 0; 9"
3,31.7,55670.0,"54728; 6; 126; 6; 46; 9; 4; 631; 105; 0; 9"
4,31.9,55593.0,"54652; 6; 126; 6; 45; 9; 4; 631; 105; 0; 9"
5,32.2,55516.0,"54576; 6; 126; 6; 44; 9; 4; 631; 105; 0; 9"
6,32.4,55439.0,"54500; 6; 126; 6; 43; 9; 4; 631; 105; 0; 9"
7,32.7,55362.0,"54424; 6; 126; 6; 42; 9; 4; 631; 105; 0; 9"
8,32.9,55285.0,"54348; 6; 126; 6; 41; 9; 4; 631; 105; 0; 9"
9,33.2,55208.0,"54272; 6; 126; 6; 40; 9; 4; 631; 105; 0; 9"
10,33.4,55131.0,"54196; 6; 126; 6; 39; 9; 4; 631; 105; 0; 9"
11,33.7,55054.0,"54120; 6; 126; 6; 38; 9; 4; 631; 105; 0; 9"
