cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-1,2-3-2,480000,0,480000.2,15.8,446545.1,94,94,13989.0,TIMEOUT_MAX,4130911,2065349,0,3106174309,79

# Améliorations
solution_num,temps_ms,cout
1,15.8,27047.0
2,16.1,26585.0
3,18.0,23003.0
4,18.3,22541.0
5,20.1,22427.0
6,25.0,22019.0
7,99.9,21963.0
8,100.2,21958.0
9,106.1,21852.0
10,173.5,21580.0
11,185.0,21424.0
12,187.3,21413.0
13,187.7,21299.0
14,195.4,21238.0
15,229.5,21185.0
16,230.0,21182.0
17,235.3,21174.0
18,245.6,21060.0
19,251.7,20999.0
20,309.9,20973.0
21,312.8,20912.0
22,337.4,20506.0
23,338.0,20339.0
24,339.1,20233.0
25,339.8,20066.0
26,361.0,19925.0
27,361.7,19864.0
28,362.3,19859.0
29,399.1,19814.0
30,401.2,19753.0
31,450.1,19352.0
32,450.5,19336.0
33,451.2,19124.0
34,454.6,19063.0
35,875.5,18620.0
36,876.0,18275.0
37,888.9,18063.0
38,944.2,18002.0
39,973.6,17917.0
40,1137.8,17864.0
41,1138.4,17853.0
42,1140.2,17845.0
43,1140.8,17678.0
44,1147.4,17643.0
45,1397.3,17495.0
46,1399.8,17373.0
47,1405.5,17312.0
48,1420.2,17227.0
49,29679.5,17203.0
50,29744.0,17179.0
51,29776.8,17118.0
52,34849.0,17069.0
53,34849.5,16761.0
54,34869.8,16700.0
55,81002.5,16655.0
56,81107.3,16620.0
57,81224.7,16570.0
58,81283.9,16535.0
59,82383.0,16451.0
60,82404.0,16390.0
61,82717.1,16204.0
62,82887.5,16180.0
63,82896.0,16119.0
64,102347.1,16095.0
65,102365.3,16060.0
66,104758.0,15983.0
67,104773.1,15946.0
68,104776.4,15819.0
69,104779.3,15644.0
70,132016.4,15609.0
71,135742.1,15579.0
72,138487.1,15405.0
73,138556.7,15344.0
74,230459.0,15331.0
75,230461.9,15145.0
76,230563.5,14919.0
77,230575.0,14858.0
78,241847.4,14835.0
79,241849.9,14713.0
80,241875.3,14652.0
81,260323.2,14609.0
82,289076.5,14596.0
83,291000.6,14558.0
84,296789.7,14502.0
85,311554.9,14455.0
86,311590.3,14394.0
87,311611.4,14370.0
88,311628.1,14309.0
89,360577.7,14243.0
90,360585.7,14182.0
91,360792.3,14142.0
92,360821.7,14055.0
93,446539.0,14050.0
94,446545.1,13989.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,15.8,27047.0,"26628; 14; 104; 10; 8; 16; 3; 188; 65; 0; 11"
2,16.1,26585.0,"26172; 14; 104; 10; 2; 16; 3; 188; 65; 0; 11"
3,18.0,23003.0,"22660; 14; 104; 10; 8; 16; 3; 110; 67; 0; 11"
4,18.3,22541.0,"22204; 14; 104; 10; 2; 16; 3; 110; 67; 0; 11"
5,20.1,22427.0,"22092; 14; 104; 10; 2; 16; 2; 109; 67; 0; 11"
