cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-1,2-2-3,480000,0,480000.0,21.0,382282.7,187,181,15671.0,TIMEOUT_MAX,4173004,2086300,0,2627020601,90

# Améliorations
solution_num,temps_ms,cout
1,21.0,26339.0
2,21.4,26262.0
3,21.7,26185.0
4,21.9,26108.0
5,22.2,26031.0
6,22.4,25954.0
7,22.7,25877.0
8,22.9,25800.0
9,23.2,25723.0
10,23.5,25646.0
11,23.7,25569.0
12,24.0,25492.0
13,24.2,25415.0
14,24.5,25338.0
15,24.7,25261.0
16,25.0,25184.0
17,25.2,25107.0
18,25.5,25030.0
19,25.7,24953.0
20,26.0,24876.0
21,26.2,24799.0
22,26.5,24722.0
23,26.7,24645.0
24,27.0,24568.0
25,27.2,24491.0
26,27.5,24414.0
27,27.7,24337.0
28,28.0,24260.0
29,28.2,24183.0
30,28.5,24106.0
31,28.7,24029.0
32,29.0,23952.0
33,29.2,23875.0
34,29.5,23798.0
35,29.7,23721.0
36,30.0,23644.0
37,30.2,23567.0
38,30.5,23490.0
39,30.7,23413.0
40,31.0,23336.0
41,31.2,23259.0
42,31.5,23182.0
43,31.7,23105.0
44,32.0,23028.0
45,32.2,22951.0
46,32.5,22874.0
47,32.7,22797.0
48,32.9,22643.0
49,33.3,22581.0
50,33.6,22504.0
51,33.7,22350.0
52,38.7,22254.0
53,45.6,22110.0
54,46.1,22105.0
55,54.0,22095.0
56,54.3,22018.0
57,54.7,21864.0
58,56.1,21829.0
59,56.4,21824.0
60,57.5,21697.0
61,93.5,21689.0
62,179.4,21660.0
63,248.5,21599.0
64,257.3,21551.0
65,259.3,21535.0
66,260.0,21445.0
68,391.9,21421.0
69,412.4,21349.0
70,795.0,21331.0
71,863.1,21299.0
72,863.5,21294.0
73,951.1,21291.0
74,953.1,21286.0
75,983.4,21262.0
76,984.4,21257.0
77,1730.3,21251.0
78,3285.1,21186.0
79,3287.5,21117.0
80,3323.0,21064.0
81,3487.2,21002.0
82,3488.4,20997.0
83,3796.0,20992.0
84,3796.4,20987.0
85,4081.9,20973.0
86,4083.0,20968.0
87,6614.5,20934.0
88,6614.9,20929.0
90,6712.9,20924.0
91,6729.7,20919.0
92,6730.2,20842.0
93,6730.5,20688.0
94,7145.2,20641.0
96,7474.2,20561.0
97,7478.0,20484.0
98,7479.7,20463.0
99,7483.1,20394.0
100,7637.6,20372.0
101,7638.7,20367.0
102,7656.6,20303.0
103,7658.1,20298.0
104,8967.3,20273.0
105,9011.3,20171.0
106,9161.5,20076.0
107,9168.5,20007.0
108,9630.2,19916.0
109,9630.6,19911.0
110,38745.7,19819.0
111,38746.4,19814.0
112,38769.8,19793.0
113,38775.3,19642.0
114,38775.8,19528.0
115,38787.6,19422.0
116,38878.0,19406.0
117,38879.9,19316.0
118,39125.2,19171.0
119,39148.4,19099.0
120,39158.9,19009.0
121,39637.4,18987.0
123,40337.8,18899.0
124,40339.4,18854.0
125,40352.0,18828.0
126,40352.3,18674.0
127,40354.2,18608.0
128,40374.5,18576.0
129,40374.9,18422.0
130,40376.4,18419.0
131,40380.3,18358.0
132,40380.6,18204.0
133,40381.6,18114.0
134,40382.9,18069.0
135,40507.6,18018.0
137,44026.2,17957.0
138,44031.6,17933.0
139,44033.2,17925.0
140,44033.7,17771.0
141,44097.0,17675.0
142,44650.0,17658.0
143,44668.7,17642.0
144,44685.0,17613.0
145,44685.5,17459.0
146,44686.9,17345.0
148,44743.5,17278.0
149,44928.9,17187.0
150,44936.4,17182.0
151,46577.2,17160.0
152,50390.4,17150.0
153,50393.8,17129.0
154,50395.2,17060.0
155,50556.4,17038.0
156,55870.0,16964.0
157,92224.7,16927.0
158,93314.7,16919.0
159,95268.6,16863.0
160,95270.6,16778.0
161,95682.1,16731.0
162,246909.6,16624.0
163,246987.8,16600.0
164,247007.0,16528.0
165,261697.2,16517.0
166,261699.3,16448.0
167,262745.3,16438.0
168,262746.1,16417.0
169,262747.3,16348.0
170,262824.2,16347.0
171,262825.1,16326.0
172,262825.7,16257.0
173,262831.3,16252.0
174,263552.1,16241.0
175,263553.3,16204.0
176,263556.1,16135.0
177,263558.5,16130.0
178,269430.1,16061.0
179,269435.3,16056.0
180,332610.2,16053.0
181,332611.6,15984.0
182,332799.8,15952.0
183,334053.4,15949.0
184,334053.8,15928.0
185,334054.6,15859.0
186,382274.4,15743.0
187,382282.7,15671.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,21.0,26339.0,"25964; 18; 112; 22; 48; 7; 3; 68; 91; 0; 6"
2,21.4,26262.0,"25888; 18; 112; 22; 47; 7; 3; 68; 91; 0; 6"
3,21.7,26185.0,"25812; 18; 112; 22; 46; 7; 3; 68; 91; 0; 6"
4,21.9,26108.0,"25736; 18; 112; 22; 45; 7; 3; 68; 91; 0; 6"
5,22.2,26031.0,"25660; 18; 112; 22; 44; 7; 3; 68; 91; 0; 6"
6,22.4,25954.0,"25584; 18; 112; 22; 43; 7; 3; 68; 91; 0; 6"
7,22.7,25877.0,"25508; 18; 112; 22; 42; 7; 3; 68; 91; 0; 6"
8,22.9,25800.0,"25432; 18; 112; 22; 41; 7; 3; 68; 91; 0; 6"
9,23.2,25723.0,"25356; 18; 112; 22; 40; 7; 3; 68; 91; 0; 6"
10,23.5,25646.0,"25280; 18; 112; 22; 39; 7; 3; 68; 91; 0; 6"
11,23.7,25569.0,"25204; 18; 112; 22; 38; 7; 3; 68; 91; 0; 6"
12,24.0,25492.0,"25128; 18; 112; 22; 37; 7; 3; 68; 91; 0; 6"
13,24.2,25415.0,"25052; 18; 112; 22; 36; 7; 3; 68; 91; 0; 6"
14,24.5,25338.0,"24976; 18; 112; 22; 35; 7; 3; 68; 91; 0; 6"
15,24.7,25261.0,"24900; 18; 112; 22; 34; 7; 3; 68; 91; 0; 6"
16,25.0,25184.0,"24824; 18; 112; 22; 33; 7; 3; 68; 91; 0; 6"
17,25.2,25107.0,"24748; 18; 112; 22; 32; 7; 3; 68; 91; 0; 6"
18,25.5,25030.0,"24672; 18; 112; 22; 31; 7; 3; 68; 91; 0; 6"
19,25.7,24953.0,"24596; 18; 112; 22; 30; 7; 3; 68; 91; 0; 6"
20,26.0,24876.0,"24520; 18; 112; 22; 29; 7; 3; 68; 91; 0; 6"
21,26.2,24799.0,"24444; 18; 112; 22; 28; 7; 3; 68; 91; 0; 6"
22,26.5,24722.0,"24368; 18; 112; 22; 27; 7; 3; 68; 91; 0; 6"
23,26.7,24645.0,"24292; 18; 112; 22; 26; 7; 3; 68; 91; 0; 6"
24,27.0,24568.0,"24216; 18; 112; 22; 25; 7; 3; 68; 91; 0; 6"
25,27.2,24491.0,"24140; 18; 112; 22; 24; 7; 3; 68; 91; 0; 6"
26,27.5,24414.0,"24064; 18; 112; 22; 23; 7; 3; 68; 91; 0; 6"
27,27.7,24337.0,"23988; 18; 112; 22; 22; 7; 3; 68; 91; 0; 6"
28,28.0,24260.0,"23912; 18; 112; 22; 21; 7; 3; 68; 91; 0; 6"
29,28.2,24183.0,"23836; 18; 112; 22; 20; 7; 3; 68; 91; 0; 6"
30,28.5,24106.0,"23760; 18; 112; 22; 19; 7; 3; 68; 91; 0; 6"
31,28.7,24029.0,"23684; 18; 112; 22; 18; 7; 3; 68; 91; 0; 6"
32,29.0,23952.0,"23608; 18; 112; 22; 17; 7; 3; 68; 91; 0; 6"
33,29.2,23875.0,"23532; 18; 112; 22; 16; 7; 3; 68; 91; 0; 6"
34,29.5,23798.0,"23456; 18; 112; 22; 15; 7; 3; 68; 91; 0; 6"
35,29.7,23721.0,"23380; 18; 112; 22; 14; 7; 3; 68; 91; 0; 6"
36,30.0,23644.0,"23304; 18; 112; 22; 13; 7; 3; 68; 91; 0; 6"
37,30.2,23567.0,"23228; 18; 112; 22; 12; 7; 3; 68; 91; 0; 6"
38,30.5,23490.0,"23152; 18; 112; 22; 11; 7; 3; 68; 91; 0; 6"
39,30.7,23413.0,"23076; 18; 112; 22; 10; 7; 3; 68; 91; 0; 6"
40,31.0,23336.0,"23000; 18; 112; 22; 9; 7; 3; 68; 91; 0; 6"
41,31.2,23259.0,"22924; 18; 112; 22; 8; 7; 3; 68; 91; 0; 6"
42,31.5,23182.0,"22848; 18; 112; 22; 7; 7; 3; 68; 91; 0; 6"
43,31.7,23105.0,"22772; 18; 112; 22; 6; 7; 3; 68; 91; 0; 6"
44,32.0,23028.0,"22696; 18; 112; 22; 5; 7; 3; 68; 91; 0; 6"
