cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-0,2-2-1,480000,0,480000.5,11.8,245683.5,119,119,14028.0,TIMEOUT_MAX,3785409,1892573,0,2969744240,72

# Améliorations
solution_num,temps_ms,cout
1,11.8,52202.0
2,12.6,51317.0
3,14.1,50186.0
4,14.8,49973.0
5,21.3,48984.0
6,22.0,47661.0
7,25.5,47606.0
8,27.4,47393.0
9,36.2,47107.0
10,36.6,46999.0
11,45.6,46925.0
12,93.0,46652.0
13,99.9,46578.0
14,152.4,46510.0
15,192.0,46306.0
16,194.3,46198.0
17,215.3,46054.0
18,294.1,46033.0
19,393.2,45626.0
20,396.3,45554.0
21,436.4,45514.0
22,528.3,45460.0
23,629.5,45364.0
24,632.8,45256.0
25,789.8,44488.0
26,790.6,44380.0
27,817.3,44296.0
28,841.7,44222.0
29,881.4,43844.0
30,934.0,43757.0
31,935.3,43685.0
32,1129.8,43679.0
33,1130.0,43637.0
34,1134.1,43525.0
35,1611.4,43429.0
36,1635.9,43399.0
37,1688.8,43363.0
38,1689.4,43324.0
39,3374.7,43318.0
40,3476.4,43279.0
41,4458.1,43267.0
42,4793.7,43228.0
43,4798.0,43189.0
44,18864.0,43010.0
45,18864.9,42920.0
46,18873.6,42661.0
47,18918.0,42634.0
48,19010.5,42559.0
49,19020.6,42511.0
50,19065.3,42436.0
51,19131.9,42421.0
52,19150.1,42232.0
53,26176.2,19411.0
54,26189.9,18916.0
55,26191.4,18820.0
56,26192.3,18799.0
57,26207.7,18383.0
58,26211.2,17983.0
59,26213.9,17962.0
60,26376.6,17675.0
61,26639.7,17435.0
62,27535.7,17360.0
63,29573.7,17306.0
64,32644.1,17303.0
65,38840.0,17291.0
66,39275.4,17273.0
67,39276.4,17252.0
68,39510.4,17213.0
69,48891.4,17173.0
70,49077.0,17031.0
71,49145.8,16899.0
72,49172.6,16776.0
73,49174.3,16755.0
74,49221.2,16707.0
75,50721.9,16671.0
76,50723.9,16650.0
77,51731.1,16572.0
78,66246.5,16517.0
79,66429.2,16403.0
80,68339.4,16400.0
81,70861.2,16295.0
82,71397.3,16277.0
83,71398.8,16256.0
84,90382.2,16232.0
85,90411.6,16133.0
86,90717.8,16103.0
87,90840.3,16028.0
88,93690.4,15983.0
89,94507.2,15923.0
90,97307.9,15897.0
91,97312.2,15711.0
92,97328.0,15531.0
93,97493.9,15522.0
94,97511.0,15426.0
95,97558.9,15387.0
96,97869.0,15342.0
97,100070.2,15282.0
98,101232.3,15194.0
99,101232.7,15110.0
100,101620.5,15050.0
101,101621.1,14966.0
102,103288.1,14876.0
103,109079.6,14824.0
104,109086.9,14770.0
105,109093.0,14704.0
106,109106.6,14560.0
107,151943.3,14527.0
108,151945.8,14485.0
109,151956.3,14446.0
110,151984.7,14437.0
111,178735.4,14410.0
112,179235.5,14371.0
113,179262.6,14296.0
114,180228.7,14278.0
115,241748.9,14248.0
116,244481.5,14181.0
117,244832.2,14121.0
118,244906.1,14046.0
119,245683.5,14028.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,11.8,52202.0,"51274; 28; 124; 17; 4; 0; 22; 715; 0; 18"
2,12.6,51317.0,"50417; 28; 134; 18; 3; 0; 22; 677; 0; 18"
3,14.1,50186.0,"49297; 28; 120; 18; 4; 0; 24; 676; 0; 19"
4,14.8,49973.0,"49089; 28; 120; 19; 3; 0; 22; 675; 0; 17"
5,21.3,48984.0,"48113; 24; 118; 18; 2; 0; 20; 673; 0; 16"
6,22.0,47661.0,"46805; 24; 104; 17; 3; 0; 20; 674; 0; 14"
7,25.5,47606.0,"46748; 22; 104; 17; 4; 0; 20; 673; 0; 18"
8,27.4,47393.0,"46540; 22; 104; 18; 3; 0; 18; 672; 0; 16"
9,36.2,47107.0,"46251; 20; 98; 17; 3; 0; 20; 680; 0; 18"
10,36.6,46999.0,"46146; 20; 98; 17; 3; 0; 20; 679; 0; 16"
11,45.6,46925.0,"46075; 22; 98; 17; 3; 0; 20; 672; 0; 18"
12,93.0,46652.0,"45802; 16; 98; 17; 2; 0; 20; 683; 0; 14"
13,99.9,46578.0,"45731; 18; 98; 17; 2; 0; 20; 676; 0; 16"
