cf_id,cf_name,preset,borrow_mode,nb_voix,especes,v_type,timeout_ms,stagnation_ms,temps_total_ms,temps_premiere_solution_ms,temps_derniere_amelioration_ms,nb_solutions,nb_ameliorations,cout_final,terminaison,noeuds,echecs,redemarrages,propagations,profondeur_max
/
,direct_cf_Majeur,bryce,0,4,1-0-0-1,1-1-3,480000,0,480000.0,27.8,439133.0,218,214,15582.0,TIMEOUT_MAX,3557133,1778330,0,2713359989,105

# Améliorations
solution_num,temps_ms,cout
1,27.8,31109.0
2,28.1,31032.0
3,28.3,30955.0
4,28.6,30878.0
5,28.8,30801.0
6,29.1,30724.0
7,29.3,30647.0
8,29.6,30570.0
9,29.8,30493.0
10,30.1,30416.0
11,30.3,30339.0
12,30.6,30262.0
13,30.8,30185.0
14,31.1,30108.0
15,31.3,30031.0
16,31.6,29954.0
17,31.8,29877.0
18,32.1,29800.0
19,32.3,29723.0
20,32.5,29646.0
21,32.8,29569.0
22,33.1,29492.0
23,33.3,29415.0
24,33.5,29338.0
25,33.8,29261.0
26,34.0,29184.0
27,34.3,29107.0
28,34.5,29030.0
29,34.8,28953.0
30,35.0,28876.0
31,35.3,28799.0
32,35.6,28722.0
33,35.8,28645.0
34,36.1,28568.0
35,36.3,28491.0
36,36.6,28414.0
37,36.8,28337.0
38,37.1,28260.0
39,37.4,28183.0
40,37.6,28106.0
41,37.9,28029.0
42,38.2,27952.0
43,38.4,27875.0
44,38.7,27798.0
45,39.0,27721.0
46,39.1,27567.0
47,40.3,27562.0
48,40.8,27408.0
49,41.1,27399.0
50,41.4,27322.0
51,41.6,27245.0
52,41.9,27168.0
53,42.1,27091.0
54,42.4,27014.0
55,42.6,26937.0
56,42.9,26860.0
57,43.1,26783.0
58,43.4,26706.0
59,43.6,26629.0
60,43.9,26552.0
61,44.1,26475.0
62,44.3,26321.0
63,45.1,26240.0
64,45.6,26163.0
65,45.9,26086.0
66,46.2,26009.0
67,46.4,25932.0
68,46.7,25855.0
69,47.0,25778.0
70,47.6,25701.0
71,47.9,25624.0
72,48.3,25547.0
73,48.6,25470.0
74,49.0,25393.0
75,49.3,25316.0
76,49.7,25239.0
77,50.0,25162.0
78,50.4,25085.0
79,50.7,25008.0
80,51.1,24931.0
81,51.4,24854.0
82,51.8,24777.0
83,52.1,24700.0
84,52.5,24623.0
85,52.8,24546.0
86,53.2,24469.0
87,53.4,24392.0
88,53.9,24315.0
89,54.1,24238.0
90,54.6,24161.0
91,54.7,24007.0
92,55.1,24006.0
93,57.2,23952.0
94,57.5,23875.0
95,57.9,23798.0
96,58.2,23644.0
97,58.8,23601.0
98,59.2,23524.0
99,59.5,23370.0
100,61.1,23301.0
101,66.2,23195.0
102,102.7,23129.0
103,103.0,22975.0
104,107.6,22964.0
105,108.3,22832.0
106,109.9,22810.0
107,113.2,22664.0
108,114.6,22574.0
110,337.4,22558.0
111,338.2,22404.0
112,354.4,22377.0
113,356.0,22319.0
114,362.6,22165.0
115,519.1,22151.0
116,520.2,22061.0
117,630.0,22012.0
118,655.5,21858.0
119,847.1,21709.0
120,848.4,21656.0
121,1015.6,21603.0
122,1264.4,21542.0
123,3681.8,21521.0
124,3688.2,21484.0
125,3714.4,21339.0
126,3715.2,21286.0
127,3717.5,21185.0
128,3718.0,21132.0
129,3730.0,21071.0
130,11003.5,21047.0
131,11004.4,21010.0
132,11005.2,20957.0
133,42149.0,20819.0
134,55850.0,20741.0
135,55850.5,20730.0
136,55852.0,20603.0
137,66457.0,20561.0
138,67220.6,20521.0
139,67221.5,20431.0
140,67250.3,20370.0
141,71321.8,20240.0
142,71322.6,20224.0
143,71324.1,20187.0
144,71949.7,20134.0
146,73454.8,20033.0
147,73456.2,19996.0
148,73458.4,19935.0
149,92286.8,19841.0
150,92288.8,19788.0
151,92300.4,19666.0
152,92301.4,19613.0
153,92350.7,19597.0
154,92351.3,19443.0
155,92352.1,19390.0
156,92354.6,19321.0
157,92355.1,19244.0
158,92355.4,19167.0
159,92355.7,19090.0
160,92356.0,19013.0
161,92356.2,18859.0
162,92356.4,18848.0
163,92356.8,18771.0
164,92357.6,18729.0
165,92358.0,18575.0
166,92513.4,18453.0
167,92541.3,18360.0
168,92542.2,18323.0
169,92545.9,18278.0
170,108145.9,18262.0
171,230580.8,18207.0
172,230582.2,18154.0
173,230620.6,18122.0
174,230927.9,18090.0
175,230928.7,18037.0
176,230930.7,18029.0
177,230931.1,17976.0
178,230962.1,17960.0
179,232205.8,17952.0
180,232206.3,17915.0
181,232222.2,17870.0
182,232486.0,17854.0
184,296619.6,17700.0
185,296621.4,17658.0
186,296622.6,17504.0
187,296627.9,17451.0
188,296630.1,17398.0
189,296647.2,17297.0
190,296647.6,17255.0
191,296648.2,17101.0
193,302458.1,17048.0
194,305458.3,17003.0
195,305459.0,16926.0
196,305459.5,16772.0
197,305952.6,16751.0
198,305952.8,16597.0
199,409413.3,16573.0
200,409414.9,16557.0
201,409416.2,16520.0
202,409428.0,16470.0
203,409430.5,16369.0
204,409431.6,16316.0
205,409567.3,16300.0
206,410005.8,16284.0
207,415468.2,16166.0
208,415468.9,16150.0
209,415480.6,16097.0
210,415481.6,15943.0
211,415482.1,15927.0
212,415490.0,15848.0
213,415490.5,15832.0
214,415581.7,15757.0
215,415584.1,15704.0
216,415621.0,15609.0
217,439037.0,15598.0
218,439133.0,15582.0

# Evolution couts
solution_num,temps_ms,cout_scalaire,vecteur_lex
1,27.8,31109.0,"30628; 6; 122; 20; 48; 8; 5; 95; 171; 0; 6"
2,28.1,31032.0,"30552; 6; 122; 20; 47; 8; 5; 95; 171; 0; 6"
3,28.3,30955.0,"30476; 6; 122; 20; 46; 8; 5; 95; 171; 0; 6"
4,28.6,30878.0,"30400; 6; 122; 20; 45; 8; 5; 95; 171; 0; 6"
5,28.8,30801.0,"30324; 6; 122; 20; 44; 8; 5; 95; 171; 0; 6"
6,29.1,30724.0,"30248; 6; 122; 20; 43; 8; 5; 95; 171; 0; 6"
7,29.3,30647.0,"30172; 6; 122; 20; 42; 8; 5; 95; 171; 0; 6"
8,29.6,30570.0,"30096; 6; 122; 20; 41; 8; 5; 95; 171; 0; 6"
9,29.8,30493.0,"30020; 6; 122; 20; 40; 8; 5; 95; 171; 0; 6"
10,30.1,30416.0,"29944; 6; 122; 20; 39; 8; 5; 95; 171; 0; 6"
11,30.3,30339.0,"29868; 6; 122; 20; 38; 8; 5; 95; 171; 0; 6"
12,30.6,30262.0,"29792; 6; 122; 20; 37; 8; 5; 95; 171; 0; 6"
13,30.8,30185.0,"29716; 6; 122; 20; 36; 8; 5; 95; 171; 0; 6"
14,31.1,30108.0,"29640; 6; 122; 20; 35; 8; 5; 95; 171; 0; 6"
